time, Quad.Est.E.Pos, Quad.Est.S.Z
2.979966,0.225841,0.309845
2.984966,0.226068,0.310034
2.989966,0.226187,0.310161
2.994965,0.226470,0.310351
2.999965,0.226739,0.310479
3.004965,0.175015,0.307808
3.009964,0.174945,0.307926
3.014964,0.174841,0.308103
3.019964,0.174620,0.308222
3.024963,0.174603,0.308401
3.029963,0.174707,0.308520
3.034962,0.174655,0.308701
3.039962,0.174615,0.308821
3.044962,0.174600,0.309004
3.049961,0.174598,0.309125
3.054961,0.174611,0.309309
3.059961,0.174576,0.309432
3.064960,0.174597,0.309618
3.069960,0.174678,0.309742
3.074960,0.174748,0.309929
3.079959,0.174832,0.310054
3.084959,0.174933,0.310243
3.089958,0.175102,0.310369
3.094958,0.175203,0.310560
3.099958,0.175240,0.310687
3.104957,0.166078,0.308015
3.109957,0.166052,0.308132
3.114957,0.165873,0.308309
3.119956,0.165806,0.308428
3.124956,0.165623,0.308606
3.129956,0.165512,0.308726
3.134955,0.165335,0.308906
3.139955,0.165196,0.309027
3.144954,0.164998,0.309209
3.149954,0.164870,0.309331
3.154954,0.164675,0.309514
3.159953,0.164524,0.309637
3.164953,0.164316,0.309822
3.169953,0.164152,0.309946
3.174952,0.163957,0.310133
3.179952,0.163850,0.310258
3.184952,0.163672,0.310447
3.189951,0.163587,0.310573
3.194951,0.163399,0.310763
3.199950,0.163257,0.310891
3.204950,0.155180,0.308217
3.209950,0.155035,0.308334
3.214949,0.154882,0.308511
3.219949,0.154722,0.308629
3.224949,0.154557,0.308808
3.229948,0.154437,0.308927
3.234948,0.154279,0.309107
3.239948,0.154159,0.309228
3.244947,0.154004,0.309409
3.249947,0.153898,0.309531
3.254946,0.153754,0.309714
3.259946,0.153597,0.309837
3.264946,0.153430,0.310022
3.269945,0.153337,0.310146
3.274945,0.153179,0.310333
3.279945,0.153039,0.310458
3.284944,0.152874,0.310646
3.289944,0.152741,0.310772
3.294944,0.152554,0.310962
3.299943,0.152588,0.311090
3.304943,0.125199,0.308414
3.309942,0.124821,0.308531
3.314942,0.124360,0.308708
3.319942,0.124061,0.308826
3.324941,0.123588,0.309004
3.329941,0.123340,0.309124
3.334941,0.122797,0.309304
3.339940,0.122426,0.309424
3.344940,0.121870,0.309606
3.349940,0.121484,0.309727
3.354939,0.120906,0.309910
3.359939,0.120555,0.310033
3.364938,0.119997,0.310218
3.369938,0.119621,0.310342
3.374938,0.119086,0.310528
3.379937,0.118805,0.310653
3.384937,0.118310,0.310841
3.389937,0.117909,0.310967
3.394936,0.117433,0.311157
3.399936,0.117127,0.311284
3.404936,0.103900,0.308607
3.409935,0.103680,0.308724
3.414935,0.103350,0.308901
3.419935,0.103142,0.309019
3.424934,0.102834,0.309197
3.429934,0.102626,0.309316
3.434933,0.102308,0.309496
3.439933,0.102102,0.309616
3.444933,0.101750,0.309798
3.449932,0.101528,0.309919
3.454932,0.101217,0.310102
3.459932,0.101005,0.310225
3.464931,0.100672,0.310409
3.469931,0.100428,0.310533
3.474931,0.100080,0.310719
3.479930,0.099829,0.310844
3.484930,0.099476,0.311032
3.489929,0.099283,0.311158
3.494929,0.098958,0.311348
3.499929,0.098665,0.311475
3.504928,0.113101,0.308796
3.509928,0.113293,0.308913
3.514928,0.113441,0.309089
3.519927,0.113570,0.309207
3.524927,0.113744,0.309385
3.529927,0.113807,0.309504
3.534926,0.113987,0.309684
3.539926,0.114135,0.309804
3.544925,0.114303,0.309985
3.549925,0.114423,0.310107
3.554925,0.114606,0.310289
3.559924,0.114734,0.310412
3.564924,0.114933,0.310596
3.569924,0.115052,0.310720
3.574923,0.115237,0.310906
3.579923,0.115306,0.311031
3.584923,0.115483,0.311219
3.589922,0.115541,0.311344
3.594922,0.115706,0.311534
3.599921,0.115846,0.311661
3.604921,0.109966,0.308980
3.609921,0.109653,0.309097
3.614920,0.109196,0.309273
3.619920,0.108905,0.309391
3.624920,0.108460,0.309569
3.629919,0.108161,0.309688
3.634919,0.107707,0.309868
3.639919,0.107400,0.309988
3.644918,0.106930,0.310169
3.649918,0.106629,0.310290
3.654917,0.106174,0.310473
3.659917,0.105879,0.310595
3.664917,0.105393,0.310779
3.669916,0.105013,0.310903
3.674916,0.104507,0.311089
3.679916,0.104114,0.311213
3.684915,0.103599,0.311401
3.689915,0.103280,0.311527
3.694915,0.102787,0.311716
3.699914,0.102494,0.311843
3.704914,0.107393,0.309161
3.709913,0.107218,0.309277
3.714913,0.106809,0.309453
3.719913,0.106431,0.309571
3.724912,0.106062,0.309749
3.729912,0.105786,0.309868
3.734912,0.105347,0.310047
3.739911,0.105042,0.310167
3.744911,0.104596,0.310348
3.749911,0.104226,0.310469
3.754910,0.103697,0.310652
3.759910,0.103282,0.310774
3.764910,0.102712,0.310958
3.769909,0.102530,0.311082
3.774909,0.102006,0.311267
3.779908,0.101973,0.311392
3.784908,0.101475,0.311580
3.789908,0.101132,0.311705
3.794907,0.100605,0.311894
3.799907,0.100324,0.312021
3.804907,0.146166,0.309337
3.809906,0.145953,0.309454
3.814906,0.145738,0.309630
3.819906,0.145549,0.309747
3.824905,0.145335,0.309925
3.829905,0.145111,0.310044
3.834904,0.144928,0.310223
3.839904,0.144803,0.310343
3.844904,0.144630,0.310524
3.849903,0.144491,0.310645
3.854903,0.144252,0.310827
3.859903,0.144112,0.310949
3.864902,0.143925,0.311133
3.869902,0.143695,0.311256
3.874902,0.143500,0.311442
3.879901,0.143533,0.311567
3.884901,0.143385,0.311754
3.889900,0.143027,0.311879
3.894900,0.142833,0.312069
3.899900,0.142881,0.312195
3.904899,0.157150,0.309509
3.909899,0.157219,0.309626
3.914899,0.157305,0.309802
3.919898,0.157348,0.309920
3.924898,0.157416,0.310097
3.929898,0.157461,0.310216
3.934897,0.157502,0.310395
3.939897,0.157517,0.310515
3.944896,0.157538,0.310695
3.949896,0.157561,0.310816
3.954896,0.157612,0.310998
3.959895,0.157704,0.311120
3.964895,0.157804,0.311304
3.969895,0.157857,0.311428
3.974894,0.157984,0.311613
3.979894,0.158133,0.311737
3.984894,0.158260,0.311925
3.989893,0.158378,0.312050
3.994893,0.158518,0.312239
3.999892,0.158651,0.312366
4.004892,0.154326,0.309678
4.009892,0.154315,0.309795
4.014892,0.154205,0.309970
4.019891,0.154108,0.310088
4.024891,0.154006,0.310265
4.029891,0.153921,0.310384
4.034890,0.153787,0.310563
4.039890,0.153698,0.310683
4.044889,0.153547,0.310863
4.049889,0.153426,0.310984
4.054889,0.153270,0.311166
4.059888,0.153146,0.311288
4.064888,0.152985,0.311472
4.069888,0.152920,0.311595
4.074887,0.152813,0.311780
4.079887,0.152715,0.311904
4.084887,0.152583,0.312092
4.089886,0.152436,0.312217
4.094886,0.152250,0.312406
4.099885,0.152093,0.312532
4.104885,0.090417,0.309843
4.109885,0.090245,0.309960
4.114884,0.089978,0.310135
4.119884,0.089799,0.310253
4.124884,0.089459,0.310430
4.129883,0.089210,0.310548
4.134883,0.088900,0.310727
4.139883,0.088687,0.310847
4.144882,0.088360,0.311027
4.149882,0.088105,0.311148
4.154881,0.087669,0.311330
4.159881,0.087366,0.311452
4.164881,0.086843,0.311635
4.169880,0.086494,0.311758
4.174880,0.085930,0.311944
4.179880,0.085573,0.312068
4.184879,0.084939,0.312255
4.189879,0.084333,0.312380
4.194879,0.083604,0.312569
4.199878,0.083165,0.312695
4.204878,0.101887,0.310004
4.209877,0.101680,0.310121
4.214877,0.101307,0.310296
4.219877,0.101110,0.310414
4.224876,0.100687,0.310591
4.229876,0.100451,0.310709
4.234876,0.099922,0.310888
4.239875,0.099571,0.311007
4.244875,0.098966,0.311188
4.249875,0.098528,0.311308
4.254874,0.097820,0.311490
4.259874,0.097279,0.311612
4.264874,0.096546,0.311795
4.269873,0.096056,0.311918
4.274873,0.095299,0.312104
4.279872,0.094773,0.312228
4.284872,0.093981,0.312414
4.289872,0.093773,0.312540
4.294871,0.093033,0.312728
4.299871,0.092307,0.312854
4.304871,0.130562,0.310162
4.309870,0.130184,0.310278
4.314870,0.129590,0.310454
4.319870,0.129102,0.310571
4.324869,0.128542,0.310748
4.329869,0.128189,0.310866
4.334868,0.127554,0.311045
4.339868,0.127127,0.311164
4.344868,0.126487,0.311344
4.349867,0.126066,0.311465
4.354867,0.125433,0.311647
4.359867,0.125022,0.311769
4.364866,0.124358,0.311952
4.369866,0.123857,0.312075
4.374866,0.123173,0.312260
4.379865,0.122607,0.312384
4.384865,0.121859,0.312570
4.389864,0.121350,0.312696
4.394864,0.120587,0.312884
4.399864,0.120126,0.313010
4.404863,0.160393,0.310316
4.409863,0.160102,0.310433
4.414863,0.159528,0.310608
4.419862,0.159084,0.310725
4.424862,0.158475,0.310902
4.429862,0.158100,0.311020
4.434861,0.157534,0.311199
4.439861,0.157170,0.311318
4.444860,0.156564,0.311498
4.449860,0.156158,0.311619
4.454860,0.155502,0.311800
4.459859,0.155005,0.311922
4.464859,0.154301,0.312105
4.469859,0.153823,0.312228
4.474858,0.153109,0.312413
4.479858,0.152699,0.312537
4.484858,0.152037,0.312723
4.489857,0.151750,0.312848
4.494857,0.151154,0.313037
4.499856,0.150874,0.313163
4.504856,0.122776,0.310467
4.509856,0.122154,0.310583
4.514855,0.121177,0.310758
4.519855,0.120535,0.310876
4.524855,0.119544,0.311052
4.529854,0.118875,0.311171
4.534854,0.117894,0.311349
4.539854,0.117261,0.311468
4.544853,0.116374,0.311648
4.549853,0.115770,0.311768
4.554852,0.114845,0.311950
4.559852,0.114232,0.312072
4.564852,0.113338,0.312255
4.569851,0.112727,0.312377
4.574851,0.111862,0.312562
4.579851,0.111317,0.312686
4.584850,0.110499,0.312872
4.589850,0.109945,0.312997
4.594850,0.109153,0.313186
4.599849,0.108586,0.313312
4.604849,0.092216,0.310615
4.609848,0.091721,0.310731
4.614848,0.090952,0.310906
4.619848,0.090425,0.311023
4.624847,0.089618,0.311199
4.629847,0.089067,0.311318
4.634847,0.088236,0.311496
