time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
1.109996,-0.048646,-0.008032,-0.074523,-0.094085
1.114996,-0.048997,-0.008586,-0.067209,-0.085484
1.119996,-0.049310,-0.008828,-0.059628,-0.081143
1.124997,-0.049585,-0.009303,-0.051887,-0.074611
1.129997,-0.049821,-0.009618,-0.044127,-0.066242
1.134997,-0.050018,-0.009999,-0.036303,-0.056654
1.139997,-0.050176,-0.010182,-0.028533,-0.061870
1.144997,-0.050296,-0.010540,-0.020794,-0.056109
1.149998,-0.050376,-0.010802,-0.012993,-0.061776
1.154998,-0.050418,-0.011160,-0.005206,-0.055542
1.159998,-0.050421,-0.011482,0.002501,-0.057202
1.164998,-0.050386,-0.011818,0.010034,-0.050678
1.169999,-0.050313,-0.012111,0.017489,-0.050136
1.174999,-0.050204,-0.012388,0.024828,-0.038608
1.179999,-0.050058,-0.012640,0.031915,-0.037309
1.184999,-0.049878,-0.012853,0.038891,-0.032778
1.190000,-0.049663,-0.013613,0.045682,-0.045082
1.195000,-0.049414,-0.013860,0.052374,-0.036211
1.200000,-0.049133,-0.014047,0.058943,-0.033324
1.205000,-0.048818,0.015694,0.065549,0.103984
1.210001,-0.048470,0.016518,0.072212,0.100364
1.215001,-0.048090,0.017137,0.078552,0.106996
1.220001,-0.047679,0.017549,0.084460,0.112648
1.225001,-0.047241,0.018231,0.089825,0.116152
1.230001,-0.046777,0.018828,0.094567,0.112788
1.235002,-0.046292,0.019517,0.098590,0.117982
1.240002,-0.045789,0.019920,0.101815,0.134784
1.245002,-0.045272,0.020738,0.104148,0.139184
1.250002,-0.044747,0.021312,0.105503,0.143768
1.255003,-0.044218,0.022181,0.105818,0.144370
1.260003,-0.043691,0.022868,0.105056,0.150644
1.265003,-0.043171,0.023765,0.103181,0.147725
1.270003,-0.042664,0.024101,0.100098,0.133810
1.275004,-0.042176,0.024894,0.095818,0.129041
1.280004,-0.041713,0.025279,0.090349,0.120949
1.285004,-0.041280,0.025987,0.083682,0.111415
1.290004,-0.040885,0.026364,0.075872,0.101117
1.295004,-0.040532,0.026950,0.067050,0.089003
1.300005,-0.040225,0.027257,0.057280,0.080590
1.305005,-0.039971,0.029519,0.046479,0.065221
1.310005,-0.039774,0.029523,0.034362,0.060869
1.315005,-0.039641,0.029869,0.021440,0.047287
1.320006,-0.039574,0.030135,0.007836,0.036274
1.325006,-0.039578,0.030309,-0.006396,0.016458
1.330006,-0.039653,0.030436,-0.020922,-0.003783
1.335006,-0.039802,0.030379,-0.035728,-0.024001
1.340007,-0.040025,0.030303,-0.050453,-0.041549
1.345007,-0.040321,0.030013,-0.064874,-0.062118
1.350007,-0.040687,0.029756,-0.079006,-0.071690
1.355007,-0.041124,0.029294,-0.092816,-0.090501
1.360008,-0.041628,0.028962,-0.106039,-0.098975
1.365008,-0.042196,0.028341,-0.118676,-0.113226
1.370008,-0.042826,0.027957,-0.130721,-0.119488
1.375008,-0.043514,0.027208,-0.141868,-0.133374
1.380008,-0.044254,0.026724,-0.152073,-0.139879
1.385009,-0.045043,0.025853,-0.161370,-0.153975
1.390009,-0.045875,0.025495,-0.169701,-0.152269
1.395009,-0.046746,0.024564,-0.177097,-0.161953
1.400009,-0.047651,0.024029,-0.183512,-0.163262
1.405010,-0.048586,0.018386,-0.189134,-0.185067
1.410010,-0.049546,0.017513,-0.193938,-0.188947
1.415010,-0.050528,0.016376,-0.197874,-0.190094
1.420010,-0.051527,0.015715,-0.200874,-0.197650
1.425011,-0.052538,0.014520,-0.202972,-0.202859
1.430011,-0.053557,0.013589,-0.204206,-0.198163
